user,href,gold_badges,silver_badges,bronze_badges,current_position,change_position,total_reputation,year_reputation,answers,questions,people_reached,total_tags,top_tag,score_top_tag,posts_top_tag,pct_post_top_tag
Gordon Linoff,https://stackoverflow.com/users/1144035/gordon-linoff,40,399,509,1,0,937808,40089,66592,0,41600000,2672,sql,75925,57909,87
jezrael,https://stackoverflow.com/users/2901002/jezrael,39,583,609,2,0,488415,39266,19829,44,28100000,1021,pandas,46972,19542,98
akrun,https://stackoverflow.com/users/3732271/akrun,17,297,390,3,0,533932,35657,22087,0,15300000,1348,r,43176,22052,100
Ronak Shah,https://stackoverflow.com/users/3962914/ronak-shah,14,58,100,4,6,137346,30024,5911,34,1700000,800,r,9430,5901,99
GMB,https://stackoverflow.com/users/10676716/gmb,9,24,51,5,50,83048,29797,4828,0,275000,857,sql,4483,3935,82
CertainPerformance,https://stackoverflow.com/users/9515207/certainperformance,21,113,137,6,3,176275,24763,6134,2,1800000,1198,javascript,12166,5588,91
VonC,https://stackoverflow.com/users/6309/vonc,376,3196,3759,7,-3,942230,23688,23456,16,182200000,3891,git,101417,12448,53
Barmar,https://stackoverflow.com/users/1491895/barmar,40,309,415,8,8,510106,22766,23155,17,18200000,3419,javascript,9650,6182,27
T.J. Crowder,https://stackoverflow.com/users/157247/t-j-crowder,146,1432,1489,9,-4,783996,22687,18819,77,77100000,3017,javascript,70618,13673,72
Doug Stevenson,https://stackoverflow.com/users/807126/doug-stevenson,15,177,204,10,31,147406,20791,5793,10,3400000,1051,firebase,8359,4408,76
Martijn Pieters,https://stackoverflow.com/users/100297/martijn-pieters,192,2998,2647,11,-5,803182,20416,19781,3,84200000,2942,python,133187,18964,96
chepner,https://stackoverflow.com/users/1126841/chepner,43,318,435,12,15,325518,20210,9467,7,19400000,1945,bash,14252,4324,46
Frank van Puffelen,https://stackoverflow.com/users/209103/frank-van-puffelen,41,496,515,13,5,315564,20191,9047,18,11700000,1148,firebase,21305,7659,84
Jon Skeet,https://stackoverflow.com/users/22656/jon-skeet,749,8397,8719,14,-6,1174275,20008,34969,50,298500000,4639,c#,233590,19455,56
Asperi,https://stackoverflow.com/users/12299030/asperi,3,10,44,15,2036,24885,18879,1060,2,126000,444,swiftui,1044,883,83
Willem Van Onsem,https://stackoverflow.com/users/67579/willem-van-onsem,21,217,317,16,3,231005,18865,6683,96,4600000,1657,python,6956,2781,41
Günter Zöchbauer,https://stackoverflow.com/users/217408/g%c3%bcnter-z%c3%b6chbauer,111,1391,1204,17,-6,407851,18728,9308,93,46300000,1484,angular,47273,5574,59
Nina Scholz,https://stackoverflow.com/users/1447675/nina-scholz,18,187,255,18,-3,261947,18353,11339,0,8200000,1110,javascript,20770,11316,100
